Image,pt1x,pt1y,pt2x,pt2y
142.png,24.64,158.34,22.79,425.12
143.png,24.64,150.33,23.4,417.11
144.png,28.95,154.02,27.72,412.18
145.png,24.02,165.73,25.25,428.81
146.png,30.8,152.79,30.18,419.57
147.png,32.65,163.26,30.18,425.12
148.png,31.41,151.56,32.65,398.62
149.png,27.72,173.12,25.87,429.43
150.png,26.48,156.49,25.25,415.88
151.png,29.57,159.57,28.33,415.26
152.png,30.18,98.57,28.33,371.51
153.png,17.24,154.02,17.86,426.35
154.png,27.72,156.49,25.25,426.97
155.png,31.41,151.56,29.57,414.03
156.png,30.8,155.87,30.18,421.42
157.png,30.8,124.45,31.41,398.62
158.png,33.26,117.67,32.03,391.23
159.png,29.57,145.4,28.95,406.02
160.png,30.8,133.69,30.18,398.62
161.png,30.8,138,29.57,409.71
162.png,28.95,155.25,26.48,418.34
163.png,30.18,134.31,29.57,399.86
164.png,26.48,145.4,28.15,414.46
165.png,32.03,112.13,28.95,379.52
166.png,30.18,147.25,30.18,409.1
167.png,28.95,160.18,29.57,419.57
168.png,20.32,142.32,21.56,404.17
169.png,28.33,146.63,27.1,422.65
170.png,26.48,147.25,27.1,423.89
171.png,29.57,166.34,28.33,434.36
172.png,25.25,143.55,26.55,412.36
173.png,32.65,117.05,27.72,388.15
174.png,22.79,134.92,25.87,423.27
175.png,29.53,148.65,23.98,457.08
176.png,30.76,141.25,30.15,421.92
177.png,26.45,144.33,27.06,415.13
178.png,28.91,149.88,28.91,406.5
179.png,27.68,155.43,24.6,420.07
180.png,31.38,98.06,30.15,366.4
181.png,32.61,149.88,31.38,419.45
182.png,31.38,151.73,30.15,413.9
183.png,28.91,174.56,26.45,463.25
184.png,32,86.96,31.38,360.23
185.png,30.76,141.86,29.53,417.6
186.png,28.91,157.9,26.45,415.75
187.png,30.76,106.7,30.15,389.84
188.png,32,148.03,32,423.77
189.png,30.15,148.03,29.53,419.45
190.png,28.91,164.69,27.06,423.15
191.png,29.5,136.9,27.06,397.25
192.png,29.53,135.69,27.68,400.33
193.png,30.76,144.33,29.53,386.14
194.png,26.45,153.58,25.83,420.07
195.png,24.6,143.1,25.21,395.39
196.png,33.23,143.71,33.85,413.9
197.png,32.61,138.78,29.53,407.73
198.png,21.51,158.52,19.04,430.56
199.png,31.38,169.62,31.38,439.81
200.png,30.76,162.84,30.76,426.24
201.png,30.76,148.65,29.53,420.07
202.png,31.38,148.03,30.15,405.26
203.png,30.76,127.06,30.15,395.39
204.png,31.38,48.72,30.76,333.71
205.png,30.76,99.3,32.62,253.52
206.png,34.47,80.79,32,370.1
207.png,30.15,125.21,30.15,397.25
209.png,32,154.82,32,406.5
210.png,23.98,154.2,23.36,416.37
211.png,20.28,115.95,20.28,382.44
212.png,29.53,103,28.3,363.32
213.png,30.76,101.15,27.68,368.87
214.png,28.91,83.88,28.3,368.25
215.png,31.38,150.5,32,421.3
216.png,28.3,152.35,27.06,415.75
217.png,30.76,151.73,29.53,436.11
218.png,31.38,154.82,30.76,412.67
219.png,23.36,119.04,24.6,385.52
220.png,30.76,154.2,30.76,410.2
221.png,29.53,146.18,27.68,401.56
222.png,30.15,144.33,28.3,392.31
223.png,30.15,164.07,28.3,421.92
224.png,27.06,135.69,25.21,406.5
225.png,28.3,175.79,25.83,404.65
226.png,28.91,136.31,28.91,386.14
227.png,27.68,126.44,28.3,402.18
228.png,31.38,117.19,29.53,383.67
229.png,22.13,165.92,23.98,418.84
230.png,32,100.53,31.38,360.85
231.png,26.45,79.56,23.98,341.73
232.png,31.38,149.26,28.91,419.45
233.png,32,143.71,28.3,412.05
234.png,30.15,168.39,28.3,414.52
235.png,32,77.71,30.15,356.53
236.png,30.15,160.99,27.06,413.9
237.png,30.15,166.54,28.3,404.65
238.png,28.91,175.79,26.45,436.72
239.png,28.91,138.78,27.68,404.65
240.png,30.15,141.25,28.3,415.13
241.png,32,151.73,31.38,421.92
242.png,30.76,144.95,29.53,415.75
243.png,30.76,158.52,28.91,408.35
244.png,29.53,160.37,27.68,412.05
245.png,27.68,150.5,25.21,410.82
246.png,30.76,117.19,27.68,444.74
247.png,30.76,146.18,27.68,409.58
248.png,28.3,145.56,26.45,407.73
249.png,31.38,144.33,32,418.84
250.png,28.3,118.42,28.91,381.21
251.png,27.72,144.17,27.1,411.56
252.png,29.57,119.52,27.72,390
253.png,31.41,146.63,30.8,429.43
254.png,22.17,119.52,24.6,393.7
255.png,33.26,151.56,33.88,410.33
256.png,32.03,115.21,32.65,381.99
257.png,38.19,139.24,37.57,401.7
258.png,20.94,120.75,20.32,375.83
259.png,28.33,119.52,28.33,381.37
260.png,28.95,139.85,28.33,412.18
261.png,31.41,154.02,32.03,418.34
262.png,30.8,157.1,30.18,428.81
263.png,23.4,125.06,22.79,391.85
264.png,25.87,142.93,28.33,404.79
265.png,32.03,137.39,29.57,401.09
266.png,33.26,71.46,32.03,343.79
267.png,32.03,57.91,31.41,320.99
268.png,33.26,80.7,32.03,353.65
269.png,22.79,149.09,21.56,420.8
270.png,28.95,147.86,28.95,414.03
271.png,36.34,146.63,33.26,410.33
272.png,25.87,117.05,26.48,381.37
273.png,36.96,121.98,38.19,385.69
274.png,32.65,97.34,30.18,366.59
275.png,30.8,125.06,29.57,388.15
276.png,31.41,119.52,30.8,383.84
277.png,32.03,215.63,31.41,483.65
278.png,32.65,213.17,30.18,487.96
279.png,34.49,224.88,31.41,487.96
280.png,22.79,225.49,24.64,484.27
281.png,31.41,215.63,29.57,476.87
282.png,24.64,226.11,25.25,489.81
283.png,34.49,223.03,35.1,477.5
284.png,37.58,158.34,35.11,428.81
285.png,32.65,218.72,30.8,494.12
286.png,35.11,220.56,33.88,487.96
287.png,33.88,181.13,31.41,444.83
288.png,29.57,192.84,30.18,436.21
289.png,35.11,175.59,32.6,438.7
290.png,31.41,221.18,29.57,496.59
291.png,34.49,216.87,33.26,475.02
292.png,33.26,235.97,33.26,505.21
293.png,33.26,217.48,33.26,497.82
294.png,29.57,209.47,30.18,478.1
295.png,28.95,194.07,29.57,421.42
296.png,29.57,206.39,28.95,438.67
297.png,35.11,212.55,34.49,467.01
298.png,33.88,200.85,32.65,455.31
299.png,31.41,221.18,30.18,479.95
300.png,35.11,205.78,34.49,465.17
