name,x,y
327.png,24.02,134.31
328.png,28.33,182.98
329.png,33.88,170.04
330.png,25.25,184.21
331.png,35.11,172.51
332.png,32.65,155.87
333.png,32.65,186.68
334.png,32.65,177.44
335.png,32.65,181.75
336.png,34.49,150.33
337.png,32.65,132.46
338.png,35.11,138
339.png,22.17,137.39
340.png,26.48,125.06
341.png,23.4,168.19
342.png,33.26,166.34
343.png,31.41,186.06
344.png,22.79,167.58
345.png,32.65,170.66
346.png,28.33,147.86
347.png,35.11,179.9
348.png,33.26,159.57
349.png,32.65,151.56
350.png,33.88,145.4
351.png,21.56,41.89
352.png,24.64,142.93
353.png,29.57,121.37
354.png,35.11,166.34
355.png,33.26,168.81
356.png,28.95,181.75
357.png,33.26,166.34
358.png,33.26,163.26
359.png,31.41,163.88
360.png,32.03,163.88
361.png,36.34,155.87
362.png,30.18,139.85
363.png,26.48,132.46
364.png,35.73,124.45
365.png,30.18,85.63
366.png,27.1,172.51
367.png,24.64,183.6
368.png,23.4,162.65
369.png,28.33,176.2
370.png,32.03,144.78
371.png,24.02,174.97
372.png,35.73,155.87
373.png,33.88,154.64
374.png,22.17,142.93
375.png,17.24,137.39
376.png,36.96,97.34
377.png,34.49,114.59
378.png,35.73,120.75
379.png,32.03,112.74
380.png,38.19,113.36
381.png,31.41,51.75
382.png,35.73,84.4
383.png,34.49,56.67
384.png,35.73,68.38
385.png,35.73,104.12
386.png,38.19,93.64
387.png,36.96,100.42
388.png,38.81,120.14
389.png,25.25,118.9
390.png,35.73,123.83
391.png,35.11,100.42
392.png,33.88,96.11
393.png,37.58,105.96
394.png,35.73,102.88
395.png,32.03,107.81
396.png,30.18,94.88
397.png,23.4,72.08
398.png,35.73,59.76
399.png,31.41,134.92
400.png,35.73,114.59
